"trade_date","entry_time","entry_et","side","entry_price","target_price","stop_price","execution_type","effective_fill_time","total_event_size","event_count_delta","slippage_ticks_rt","outcome","exit_time","net_pnl_usd","or_high","or_low","or_location","time_zone","running_daily_pnl","consecutive_losses","v5_running_daily_pnl","v5_running_daily_peak","v5_drawdown_from_peak"
"2025-09-24","2025-09-24 13:52:38.800","2025-09-24 09:52:38.800","SHORT",24796.75,24786.75,24801.75,"MARKET","2025-09-24 13:52:39.800",83,-7,3,"TARGET","1970-01-01 00:00:00.000",184.3,24841.25,24841.25,"BELOW_OR","POST_OPEN",184.3,0,184.3,184.3,0
"2025-09-24","2025-09-24 13:54:53.700","2025-09-24 09:54:53.700","SHORT",24801.75,24791.75,24806.75,"LIMIT","2025-09-24 13:54:54.600",101,3,2,"TARGET","1970-01-01 00:00:00.000",189.3,24841.25,24841.25,"BELOW_OR","POST_OPEN",373.6,0,373.6,373.6,0
"2025-09-24","2025-09-24 14:07:56.400","2025-09-24 10:07:56.400","LONG",24820,24830,24815,"MARKET","2025-09-24 14:07:57.400",101,34,4,"STOP","2025-09-24 14:09:28.500",-120.7,24841.25,24841.25,"BELOW_OR","POST_OPEN",252.90000000000003,1,252.90000000000003,373.6,-120.69999999999999
"2025-09-24","2025-09-24 14:13:54.200","2025-09-24 10:13:54.200","LONG",24821.5,24831.5,24816.5,"MARKET","2025-09-24 14:13:55.200",94,12,3,"TARGET","2025-09-24 14:16:17.500",184.3,24841.25,24841.25,"BELOW_OR","POST_OPEN",437.20000000000005,0,437.20000000000005,437.20000000000005,0
"2025-09-24","2025-09-24 14:24:52.500","2025-09-24 10:24:52.500","LONG",24814.5,24824.5,24809.5,"LIMIT","2025-09-24 14:24:53.700",83,-2,2,"TARGET","2025-09-24 14:25:45.100",189.3,24841.25,24841.25,"BELOW_OR","POST_OPEN",626.5,0,626.5,626.5,0
"2025-09-24","2025-09-24 14:26:43.200","2025-09-24 10:26:43.200","LONG",24821.75,24831.75,24816.75,"MARKET","2025-09-24 14:26:44.200",85,-2,3,"TARGET","1970-01-01 00:00:00.000",184.3,24841.25,24841.25,"BELOW_OR","POST_OPEN",810.8,0,810.8,810.8,0
"2025-09-24","2025-09-24 14:37:07.500","2025-09-24 10:37:07.500","LONG",24820.5,24830.5,24815.5,"LIMIT","2025-09-24 14:37:07.600",429,9,2,"TARGET","1970-01-01 00:00:00.000",189.3,24841.25,24841.25,"BELOW_OR","NORMAL",1000.0999999999999,0,1000.0999999999999,1000.0999999999999,0
"2025-09-24","2025-09-24 14:41:16.000","2025-09-24 10:41:16.000","SHORT",24804.5,24794.5,24809.5,"LIMIT","2025-09-24 14:41:16.100",76,-23,2,"TARGET","1970-01-01 00:00:00.000",189.3,24841.25,24841.25,"BELOW_OR","NORMAL",1189.3999999999999,0,1189.3999999999999,1189.3999999999999,0
"2025-09-24","2025-09-24 14:45:22.000","2025-09-24 10:45:22.000","SHORT",24811,24801,24816,"MARKET","2025-09-24 14:45:23.000",116,-16,4,"STOP","2025-09-24 14:46:04.800",-120.7,24841.25,24841.25,"BELOW_OR","NORMAL",1068.6999999999998,1,1068.6999999999998,1189.3999999999999,-120.70000000000005
"2025-09-24","2025-09-24 14:58:49.800","2025-09-24 10:58:49.800","SHORT",24804.75,24794.75,24809.75,"LIMIT","2025-09-24 14:58:51.200",73,-4,2,"STOP","1970-01-01 00:00:00.000",-110.7,24841.25,24841.25,"BELOW_OR","NORMAL",957.9999999999998,2,957.9999999999998,1189.3999999999999,-231.4000000000001
"2025-09-24","2025-09-24 14:59:37.000","2025-09-24 10:59:37.000","SHORT",24796.25,24786.25,24801.25,"MARKET","2025-09-24 14:59:38.000",79,-18,3,"TARGET","1970-01-01 00:00:00.000",184.3,24841.25,24841.25,"BELOW_OR","NORMAL",1142.2999999999997,0,1142.2999999999997,1189.3999999999999,-47.100000000000136
"2025-09-24","2025-09-24 15:13:37.400","2025-09-24 11:13:37.400","SHORT",24794,24784,24799,"LIMIT","2025-09-24 15:13:38.400",75,-1,2,"TARGET","2025-09-24 15:14:27.900",189.3,24841.25,24841.25,"BELOW_OR","NORMAL",1331.5999999999997,0,1331.5999999999997,1331.5999999999997,0
"2025-09-24","2025-09-24 15:17:16.500","2025-09-24 11:17:16.500","SHORT",24779.5,24769.5,24784.5,"MARKET","2025-09-24 15:17:17.500",74,0,3,"TARGET","1970-01-01 00:00:00.000",184.3,24841.25,24841.25,"BELOW_OR","NORMAL",1515.8999999999996,0,1515.8999999999996,1515.8999999999996,0
